District,Location,House_Size,Bedrooms,Bathrooms,Area_sqft,Budget_BDT,Source
Dhaka,Uttara,Medium,3,3,1300,7500000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,4,4,1456,7280000,Bangladesh_property_prices
Dhaka,Khilgaon,Medium,3,3,1550,13000000,Bangladesh_property_prices
Dhaka,Banani,Large,3,3,2669,37000000,Bangladesh_property_prices
Dhaka,Banasree,Small,2,2,835,3600000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1260,6800000,Bangladesh_property_prices
Dhaka,Shantinagar,Small,2,2,750,5500000,Bangladesh_property_prices
Dhaka,Rampura,Small,3,2,938,6700000,Bangladesh_property_prices
Dhaka,Tejgaon,Medium,3,3,1455,13500000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,3,1376,10500000,Bangladesh_property_prices
Dhaka,Eskaton,Large,3,3,1895,15000000,Bangladesh_property_prices
Dhaka,Eskaton,Medium,3,4,1785,18000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1300,6700000,Bangladesh_property_prices
Dhaka,Uttara,Large,3,4,2000,22000000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,3,1525,7500000,Bangladesh_property_prices
Dhaka,Mirpur,Small,3,2,960,3900000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,3,1550,12500000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,3,1528,7500000,Bangladesh_property_prices
Dhaka,Rampura,Medium,4,4,1510,7000000,Bangladesh_property_prices
Dhaka,Maniknagar,Large,,,1980,8250000,Bangladesh_property_prices
Dhaka,Badda,Medium,3,3,1150,5175000,Bangladesh_property_prices
Dhaka,Badda,Medium,3,3,1200,5400000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,2,1050,6000000,Bangladesh_property_prices
Dhaka,Badda,Medium,2,3,1100,5500000,Bangladesh_property_prices
Dhaka,DakshinKhan,Medium,3,3,1280,7640000,Bangladesh_property_prices
Dhaka,DakshinKhan,Medium,3,3,1275,7612500,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,3,1550,11500000,Bangladesh_property_prices
Dhaka,DakshinKhan,Small,2,2,900,5550000,Bangladesh_property_prices
Dhaka,Shyamoli,Small,3,2,970,4500000,Bangladesh_property_prices
Dhaka,Khilgaon,Small,2,2,950,5000000,Bangladesh_property_prices
Dhaka,Bangshal,Small,2,1,320,1200000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1110,6200000,Bangladesh_property_prices
Dhaka,Kathalbagan,Small,3,2,950,6300000,Bangladesh_property_prices
Dhaka,DakshinKhan,Medium,3,3,1100,6650000,Bangladesh_property_prices
Dhaka,Savar,Large,,,3640,4000000,Bangladesh_property_prices
Dhaka,Mugdapara,Large,,,2184,24000000,Bangladesh_property_prices
Dhaka,Maniknagar,Small,,,900,2600000,Bangladesh_property_prices
Dhaka,Cantonment,Small,3,3,940,3500000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,4,1654,8500000,Bangladesh_property_prices
Dhaka,Baridhara,Medium,3,3,1334,12000000,Bangladesh_property_prices
Dhaka,Adabor,Small,2,2,850,3800000,Bangladesh_property_prices
Dhaka,Adabor,Small,2,2,750,3500000,Bangladesh_property_prices
Dhaka,Badda,Medium,3,3,1650,8500000,Bangladesh_property_prices
Dhaka,Hazaribag,Medium,3,3,1200,6000000,Bangladesh_property_prices
Dhaka,Badda,Medium,3,3,1250,5400000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,2,3,1000,6200000,Bangladesh_property_prices
Dhaka,Mohammadpur,Medium,3,3,1500,8500000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,880,4000000,Bangladesh_property_prices
Dhaka,Savar,Small,2,1,790,1975000,Bangladesh_property_prices
Dhaka,Bangshal,Small,2,2,650,2925000,Bangladesh_property_prices
Dhaka,Khilgaon,Medium,3,2,1220,5000000,Bangladesh_property_prices
Dhaka,Khilgaon,Medium,3,2,1260,5200000,Bangladesh_property_prices
Dhaka,Khilgaon,Medium,3,2,1050,4300000,Bangladesh_property_prices
Dhaka,Khilgaon,Medium,3,2,1000,4100000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,2,2,1000,4500000,Bangladesh_property_prices
Dhaka,Badda,Medium,3,2,1050,5040000,Bangladesh_property_prices
Dhaka,Mugdapara,Small,4,2,900,3200000,Bangladesh_property_prices
Dhaka,Badda,Medium,3,3,1300,6800000,Bangladesh_property_prices
Dhaka,Agargaon,Medium,3,3,1200,500000,Bangladesh_property_prices
Dhaka,Tejgaon,Medium,3,3,1300,9500000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1100,6000000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,2184,17500000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,3640,30000000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,2184,15000000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,2184,13500000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,3640,28500000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,3640,26000000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,5400,40000000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,975,4500000,Bangladesh_property_prices
Dhaka,Mirpur,Large,4,4,2200,23000000,Bangladesh_property_prices
Dhaka,Hazaribag,Medium,3,3,1100,5500000,Bangladesh_property_prices
Dhaka,Hazaribag,Large,5,6,5000,35000000,Bangladesh_property_prices
Dhaka,Hazaribag,Medium,3,3,1080,5400000,Bangladesh_property_prices
Dhaka,Baridhara,Large,3,3,3244,37000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1315,6800000,Bangladesh_property_prices
Dhaka,Agargaon,Small,2,2,980,4704000,Bangladesh_property_prices
Dhaka,Agargaon,Medium,3,2,1100,5280000,Bangladesh_property_prices
Dhaka,Kathalbagan,Medium,3,3,1630,16000000,Bangladesh_property_prices
Dhaka,Kathalbagan,Medium,3,3,1503,10000000,Bangladesh_property_prices
Dhaka,Malibagh,Medium,3,2,1060,7000000,Bangladesh_property_prices
Dhaka,Mohammadpur,Small,2,2,800,8700000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,3,1550,10000000,Bangladesh_property_prices
Dhaka,Dhanmondi,Large,3,3,2570,42300000,Bangladesh_property_prices
Dhaka,Dhanmondi,Large,3,3,2640,43500000,Bangladesh_property_prices
Dhaka,Dhanmondi,Large,3,3,2674,44000000,Bangladesh_property_prices
Dhaka,Dhanmondi,Medium,3,3,1050,6500000,Bangladesh_property_prices
Dhaka,Kathalbagan,Medium,3,3,1278,8500000,Bangladesh_property_prices
Dhaka,Khilgaon,Medium,3,3,1203,7200000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Large,3,3,1809,13000000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,3,1530,11000000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,1,650,2500000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,2,1008,6000000,Bangladesh_property_prices
Dhaka,Kathalbagan,Medium,3,3,1575,16000000,Bangladesh_property_prices
Dhaka,Eskaton,Medium,3,3,1440,11500000,Bangladesh_property_prices
Dhaka,Mohammadpur,Small,2,2,900,8700000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,815,4000000,Bangladesh_property_prices
Dhaka,Mohammadpur,Medium,3,4,1650,9000000,Bangladesh_property_prices
Dhaka,Adabor,Medium,3,3,1115,6700000,Bangladesh_property_prices
Dhaka,Turag,Medium,3,3,1560,5500000,Bangladesh_property_prices
Dhaka,Dhanmondi,Large,3,4,2400,25000000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,3,1450,12000000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,950,5000000,Bangladesh_property_prices
Dhaka,Sutrapur,Small,2,2,930,4650000,Bangladesh_property_prices
Dhaka,Malibagh,Large,,,3640,32000000,Bangladesh_property_prices
Dhaka,Gulshan,Medium,3,3,1100,11600000,Bangladesh_property_prices
Dhaka,Shiddheswari,Large,4,4,2745,37000000,Bangladesh_property_prices
Dhaka,Paribagh,Large,3,4,2572,35000000,Bangladesh_property_prices
Dhaka,Sutrapur,Small,2,2,930,5115000,Bangladesh_property_prices
Dhaka,Shiddheswari,Medium,3,4,1550,17000000,Bangladesh_property_prices
Dhaka,Maghbazar,Medium,3,3,1400,9600000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,4,1500,14000000,Bangladesh_property_prices
Dhaka,Agargaon,Medium,2,2,1080,5184000,Bangladesh_property_prices
Dhaka,Uttara,Small,1,1,800,4200000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Large,3,4,2110,16500000,Bangladesh_property_prices
Dhaka,Hazaribag,Small,2,2,900,4800000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1400,9600000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Large,3,3,2374,20504200,Bangladesh_property_prices
Dhaka,Shyampur,Medium,3,2,1000,4000000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Large,3,4,2000,12400000,Bangladesh_property_prices
Dhaka,Dhanmondi,Medium,3,3,1300,13000000,Bangladesh_property_prices
Dhaka,Mohammadpur,Large,4,3,2334,24500000,Bangladesh_property_prices
Dhaka,Paribagh,Large,4,4,2400,17500000,Bangladesh_property_prices
Dhaka,Tejgaon,Medium,3,3,1150,8200000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,800,3000000,Bangladesh_property_prices
Dhaka,Mirpur,Small,3,2,950,3500000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,3,1595,12550000,Bangladesh_property_prices
Dhaka,Dhanmondi,Medium,3,3,1250,11000000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,3,1250,9000000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Large,4,5,2500,18000000,Bangladesh_property_prices
Dhaka,Banani,Large,3,3,1890,22000000,Bangladesh_property_prices
Dhaka,Dumni,Large,,,4368,20600000,Bangladesh_property_prices
Dhaka,DakshinKhan,Medium,3,3,1250,6000000,Bangladesh_property_prices
Dhaka,DakshinKhan,Medium,3,3,1375,5000000,Bangladesh_property_prices
Dhaka,DakshinKhan,Medium,3,3,1250,4300000,Bangladesh_property_prices
Dhaka,DakshinKhan,Medium,3,3,1375,4600000,Bangladesh_property_prices
Dhaka,JatraBari,Small,2,2,600,3200000,Bangladesh_property_prices
Dhaka,Tejgaon,Large,3,4,2016,25000000,Bangladesh_property_prices
Dhaka,DakshinKhan,Small,2,2,850,3500000,Bangladesh_property_prices
Dhaka,Mohammadpur,Medium,3,3,1350,8400000,Bangladesh_property_prices
Dhaka,Mohammadpur,Medium,3,3,1150,7100000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,4,1460,13000000,Bangladesh_property_prices
Dhaka,DakshinKhan,Medium,3,3,1065,3800000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,4,3,1369,13000000,Bangladesh_property_prices
Dhaka,Khilgaon,Medium,3,3,1300,11000000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,750,3000000,Bangladesh_property_prices
Dhaka,Badda,Small,3,2,920,3500000,Bangladesh_property_prices
Dhaka,Mohammadpur,Medium,3,3,1265,5200000,Bangladesh_property_prices
Dhaka,Lalbagh,Medium,2,3,1140,4800000,Bangladesh_property_prices
Dhaka,Badda,Small,3,2,920,3800000,Bangladesh_property_prices
Dhaka,Badda,Small,3,2,920,3400000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1380,9700000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1275,6500000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,4,1380,9700000,Bangladesh_property_prices
Dhaka,Turag,Medium,3,3,1513,8100000,Bangladesh_property_prices
Dhaka,Banani,Large,3,3,1890,23000000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Large,3,4,5600,56000000,Bangladesh_property_prices
Dhaka,Shyampur,Medium,3,2,1025,3690000,Bangladesh_property_prices
Dhaka,Banasree,Medium,4,4,1590,11000000,Bangladesh_property_prices
Dhaka,Turag,Medium,3,4,1700,8600000,Bangladesh_property_prices
Dhaka,Uttara,Medium,2,2,1215,6500000,Bangladesh_property_prices
Dhaka,Malibagh,Small,2,2,900,5400000,Bangladesh_property_prices
Dhaka,Hazaribag,Medium,3,3,1322,7276500,Bangladesh_property_prices
Dhaka,Hazaribag,Medium,3,3,1251,6880500,Bangladesh_property_prices
Dhaka,Hazaribag,Medium,3,3,1323,7276500,Bangladesh_property_prices
Dhaka,Dhanmondi,Medium,3,3,1392,10000000,Bangladesh_property_prices
Dhaka,Dhanmondi,Medium,3,3,1221,12000000,Bangladesh_property_prices
Dhaka,Badda,Medium,3,3,1150,5750000,Bangladesh_property_prices
Dhaka,Mugdapara,Small,2,1,425,2000000,Bangladesh_property_prices
Dhaka,Shyampur,Medium,3,2,1000,4200000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1500,6700000,Bangladesh_property_prices
Dhaka,Uttara,Large,4,4,2700,22000000,Bangladesh_property_prices
Dhaka,Mirpur,Large,4,4,2500,15000000,Bangladesh_property_prices
Dhaka,Mohammadpur,Medium,3,3,1265,5900000,Bangladesh_property_prices
Dhaka,Mohammadpur,Large,3,3,1900,10830000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,2,1075,5500000,Bangladesh_property_prices
Dhaka,Mohammadpur,Medium,3,3,1662,9600000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,4,1605,12000000,Bangladesh_property_prices
Dhaka,Mohammadpur,Small,2,2,650,4200000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,2,1075,5000000,Bangladesh_property_prices
Dhaka,Mohammadpur,Medium,2,2,1000,4700000,Bangladesh_property_prices
Dhaka,Uttara,Small,3,2,950,5000000,Bangladesh_property_prices
Dhaka,Banasree,Medium,3,4,1370,7500000,Bangladesh_property_prices
Dhaka,Khilgaon,Medium,3,3,1400,10000000,Bangladesh_property_prices
Dhaka,Mohammadpur,Small,2,2,820,4900000,Bangladesh_property_prices
Dhaka,Dhanmondi,Medium,3,3,1500,9450000,Bangladesh_property_prices
Dhaka,Mohammadpur,Small,2,2,930,4600000,Bangladesh_property_prices
Dhaka,Dhanmondi,Medium,3,3,1530,9639000,Bangladesh_property_prices
Dhaka,Mirpur,Small,3,2,950,4300000,Bangladesh_property_prices
Dhaka,DakshinKhan,Small,2,2,850,4000000,Bangladesh_property_prices
Dhaka,DakshinKhan,Small,3,2,900,4000000,Bangladesh_property_prices
Dhaka,Badda,Small,3,2,940,4200000,Bangladesh_property_prices
Dhaka,Adabor,Medium,3,3,1200,6250000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,4,1654,11000000,Bangladesh_property_prices
Dhaka,Turag,Medium,3,3,1273,6200000,Bangladesh_property_prices
Dhaka,Sutrapur,Small,3,2,900,5600000,Bangladesh_property_prices
Dhaka,Mohammadpur,Medium,3,3,1350,7700000,Bangladesh_property_prices
Dhaka,Mohammadpur,Small,2,2,860,5300000,Bangladesh_property_prices
Dhaka,Hazaribag,Small,2,2,765,3800000,Bangladesh_property_prices
Dhaka,Adabor,Small,2,2,750,3000000,Bangladesh_property_prices
Dhaka,AftabNagar,Large,,,2476,29300000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,3640,37000000,Bangladesh_property_prices
Dhaka,Badda,Medium,3,3,1250,8000000,Bangladesh_property_prices
Dhaka,Banani,Large,3,3,2250,37000000,Bangladesh_property_prices
Dhaka,Uttara,Large,3,4,1842,16500000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,4368,28000000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,5400,42000000,Bangladesh_property_prices
Dhaka,Lalmatia,Small,2,2,650,3650000,Bangladesh_property_prices
Dhaka,Uttara,Large,3,3,1842,16500000,Bangladesh_property_prices
Dhaka,Niketan,Medium,3,3,1566,14000000,Bangladesh_property_prices
Dhaka,Hazaribag,Medium,2,2,1150,6900000,Bangladesh_property_prices
Dhaka,Uttara,Large,4,4,2250,26000000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,4,1450,10000000,Bangladesh_property_prices
Dhaka,Shyamoli,Small,2,2,850,2805000,Bangladesh_property_prices
Dhaka,Shyampur,Small,3,2,990,4000000,Bangladesh_property_prices
Dhaka,Banasree,Medium,3,2,1440,10000000,Bangladesh_property_prices
Dhaka,Banani,Large,3,3,1960,18000000,Bangladesh_property_prices
Dhaka,Mirpur,Small,3,2,975,5362500,Bangladesh_property_prices
Dhaka,Banasree,Medium,3,3,1120,6000000,Bangladesh_property_prices
Dhaka,Eskaton,Medium,3,3,1245,13000000,Bangladesh_property_prices
Dhaka,Shyamoli,Medium,3,3,1490,8800000,Bangladesh_property_prices
Dhaka,Mirpur,Small,3,2,950,4000000,Bangladesh_property_prices
Dhaka,Dhanmondi,Medium,3,3,1500,18000000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,3,1486,9500000,Bangladesh_property_prices
Dhaka,Mohammadpur,Small,3,3,980,4224000,Bangladesh_property_prices
Dhaka,Mohammadpur,Medium,3,3,1120,4756000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,2,1175,5500000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,2,1265,8000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,2,1100,4500000,Bangladesh_property_prices
Dhaka,Lalbagh,Small,1,1,450,1400000,Bangladesh_property_prices
Dhaka,JatraBari,Medium,4,2,1200,5000000,Bangladesh_property_prices
Dhaka,Hazaribag,Medium,3,3,1415,9622000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,4,1554,10000000,Bangladesh_property_prices
Dhaka,Hazaribag,Medium,3,3,1275,8670000,Bangladesh_property_prices
Dhaka,Tejgaon,Small,2,2,850,4285000,Bangladesh_property_prices
Dhaka,Mohammadpur,Small,2,2,820,4500000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,4,1450,7000000,Bangladesh_property_prices
Dhaka,Shantinagar,Medium,3,3,1655,10000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,4,1485,8000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1265,8000000,Bangladesh_property_prices
Dhaka,Maghbazar,Medium,3,3,1482,10500000,Bangladesh_property_prices
Dhaka,Motijheel,Medium,3,3,1480,12000000,Bangladesh_property_prices
Dhaka,Turag,Medium,3,3,1100,3800000,Bangladesh_property_prices
Dhaka,Hazaribag,Medium,3,3,1310,8908000,Bangladesh_property_prices
Dhaka,Bashabo,Medium,3,3,1290,7308000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,2,1000,4000000,Bangladesh_property_prices
Dhaka,Bashabo,Medium,3,3,1240,7048000,Bangladesh_property_prices
Dhaka,JatraBari,Medium,2,2,1000,4800000,Bangladesh_property_prices
Dhaka,Uttara,Small,2,2,850,5700000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,3,1335,9200000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Large,4,5,2380,18000000,Bangladesh_property_prices
Dhaka,Khilkhet,Medium,3,2,1330,6000000,Bangladesh_property_prices
Dhaka,DakshinKhan,Small,3,2,925,4100000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1429,7000000,Bangladesh_property_prices
Dhaka,Banani,Large,3,5,2200,30000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1463,7000000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Large,,,2912,25000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1276,8600000,Bangladesh_property_prices
Dhaka,Uttara,Medium,3,3,1654,9000000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,900,4700000,Bangladesh_property_prices
Dhaka,Tejgaon,Medium,3,3,1300,7000000,Bangladesh_property_prices
Dhaka,Mirpur,Small,3,2,800,2900000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,4,1500,11500000,Bangladesh_property_prices
Dhaka,Uttara,Large,4,4,2461,45000000,Bangladesh_property_prices
Dhaka,Rampura,Medium,3,2,1000,5000000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Large,,,2912,14000000,Bangladesh_property_prices
Dhaka,Gulshan,Large,3,5,2000,35000000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,4,1300,9100000,Bangladesh_property_prices
Dhaka,Eskaton,Medium,3,3,1200,9000000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Large,3,3,2072,18000000,Bangladesh_property_prices
Dhaka,Tejgaon,Medium,3,3,1300,7100000,Bangladesh_property_prices
Dhaka,Khilgaon,Medium,3,3,1300,6800000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,820,4000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,4,3,1120,6000000,Bangladesh_property_prices
Dhaka,Savar,Large,,,2102,2300000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,750,3500000,Bangladesh_property_prices
Dhaka,Hazaribag,Medium,3,3,1060,4600000,Bangladesh_property_prices
Dhaka,Savar,Large,,,3180,5500000,Bangladesh_property_prices
Dhaka,Savar,Large,,,3052,5200000,Bangladesh_property_prices
Dhaka,Bashabo,Large,,,1980,9500000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,3640,29500000,Bangladesh_property_prices
Dhaka,Lalbagh,Medium,3,3,1368,13000000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,3640,28000000,Bangladesh_property_prices
Dhaka,Demra,Medium,3,2,1150,3600000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,3640,40000000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,3640,35000000,Bangladesh_property_prices
Dhaka,Purbachal,Large,,,2184,16500000,Bangladesh_property_prices
Dhaka,Mohammadpur,Small,2,2,900,4200000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,3,1500,10000000,Bangladesh_property_prices
Dhaka,Mirpur,Small,2,2,750,2500000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,3,1350,8500000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Medium,3,3,1570,10500000,Bangladesh_property_prices
Dhaka,Dhanmondi,Medium,3,5,1800,35000000,Bangladesh_property_prices
Dhaka,Banasree,Medium,3,3,1530,7800000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1500,7500000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1250,6250000,Bangladesh_property_prices
Dhaka,Cantonment,Small,2,2,750,3500000,Bangladesh_property_prices
Dhaka,Banasree,Medium,3,2,1125,5500000,Bangladesh_property_prices
Dhaka,Mohammadpur,Medium,3,3,1353,12800000,Bangladesh_property_prices
Dhaka,Maghbazar,Small,2,2,744,4000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1350,10000000,Bangladesh_property_prices
Dhaka,Mugdapara,Small,2,2,900,5000000,Bangladesh_property_prices
Dhaka,Hazaribag,Small,3,2,965,4000000,Bangladesh_property_prices
Dhaka,Mugdapara,Small,2,1,400,1600000,Bangladesh_property_prices
Dhaka,BashundharaR-A,Large,7,8,6880,60000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1245,7500000,Bangladesh_property_prices
Dhaka,Zafrabad,Medium,3,3,1225,4000000,Bangladesh_property_prices
Dhaka,Maghbazar,Small,3,2,950,5000000,Bangladesh_property_prices
Dhaka,Mugdapara,Small,2,2,550,3600000,Bangladesh_property_prices
Dhaka,Mohammadpur,Large,3,3,2500,35000000,Bangladesh_property_prices
Dhaka,JatraBari,Medium,3,2,1150,5000000,Bangladesh_property_prices
Dhaka,Zafrabad,Medium,3,3,1225,4500000,Bangladesh_property_prices
Dhaka,Mohammadpur,Large,3,3,2550,35700000,Bangladesh_property_prices
Dhaka,Banasree,Medium,3,3,1550,11500000,Bangladesh_property_prices
Dhaka,Khilgaon,Medium,3,4,1455,12000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,2,1050,4000000,Bangladesh_property_prices
Dhaka,Cantonment,Small,2,2,850,3825000,Bangladesh_property_prices
Dhaka,Mohammadpur,Small,2,2,951,6000000,Bangladesh_property_prices
Dhaka,Mirpur,Medium,3,3,1365,7500000,Bangladesh_property_prices
